id,category,true_label,structural_score,semantic_score
0,social_engineering,1,0.0,0.969
1,social_engineering,1,0.0,0.8399
2,social_engineering,1,0.0,0.9044
3,social_engineering,1,0.0,0.8177
4,social_engineering,1,0.0,0.8245
5,social_engineering,1,0.0,0.7695
6,social_engineering,1,0.0,0.5751
7,social_engineering,1,0.0,0.746
8,social_engineering,1,0.0,0.8271
9,social_engineering,1,0.0,0.9411
10,social_engineering,1,0.0,0.8871
11,social_engineering,1,0.0,0.7129
12,social_engineering,1,0.0,0.6288
13,social_engineering,1,0.0,0.7923
14,social_engineering,1,0.0,0.7528
15,social_engineering,1,0.0,0.7904
16,social_engineering,1,0.0,0.7527
17,social_engineering,1,0.0,0.7548
18,social_engineering,1,0.0,0.7281
19,social_engineering,1,0.0,0.8497
20,social_engineering,1,0.0,1.0
21,social_engineering,1,0.0,0.6124
22,social_engineering,1,0.0,0.6618
23,social_engineering,1,0.0,0.72
24,social_engineering,1,0.0,0.7899
25,social_engineering,1,0.0,0.8004
26,social_engineering,1,0.0,0.7852
27,social_engineering,1,0.0,0.1592
28,social_engineering,1,0.0,0.7319
29,social_engineering,1,0.0,0.6807
30,social_engineering,1,0.0,0.7221
31,social_engineering,1,0.0,0.8905
32,social_engineering,1,0.0,0.7436
33,social_engineering,1,0.0,0.708
34,social_engineering,1,0.0,0.7987
35,social_engineering,1,0.0,0.6264
36,social_engineering,1,0.0,0.6917
37,social_engineering,1,0.0,1.0
38,social_engineering,1,0.0,0.7497
39,social_engineering,1,0.0,0.6761
40,social_engineering,1,0.0,0.7458
41,social_engineering,1,0.0,0.7451
42,social_engineering,1,0.0,0.7339
43,social_engineering,1,0.0,0.8713
44,social_engineering,1,0.0,0.9577
45,social_engineering,1,0.0,0.7661
46,social_engineering,1,0.0,0.6755
47,social_engineering,1,0.0,0.9992
48,social_engineering,1,0.0,0.645
49,social_engineering,1,0.0,0.94
50,social_engineering,1,0.0,0.9756
51,social_engineering,1,0.0,0.758
52,social_engineering,1,0.0,0.7619
53,social_engineering,1,0.0,0.8156
54,social_engineering,1,0.0,0.7465
55,social_engineering,1,0.0,0.8116
56,social_engineering,1,0.0,0.8094
57,social_engineering,1,0.0,0.8213
58,social_engineering,1,0.0,0.6753
59,social_engineering,1,0.0,0.638
60,social_engineering,1,0.0,0.9413
61,social_engineering,1,0.0,0.8185
62,social_engineering,1,0.0,0.7393
63,social_engineering,1,0.0,0.8096
64,social_engineering,1,0.0,0.9045
65,social_engineering,1,0.0,0.8016
66,social_engineering,1,0.0,0.8192
67,social_engineering,1,0.0,0.7262
68,social_engineering,1,0.0,0.8344
69,social_engineering,1,0.0,0.63
70,social_engineering,1,0.0,0.9092
71,social_engineering,1,0.0,0.9626
72,social_engineering,1,0.0,0.8316
73,social_engineering,1,0.0,0.6741
74,social_engineering,1,0.0,0.6159
75,social_engineering,1,0.0,0.9417
76,social_engineering,1,0.0,0.8337
77,social_engineering,1,0.0,0.8274
78,social_engineering,1,0.0,0.6235
79,social_engineering,1,0.0,0.7455
80,social_engineering,1,0.0,0.9065
81,social_engineering,1,0.0,0.8973
82,social_engineering,1,0.0,0.6113
83,social_engineering,1,0.0,0.8953
84,social_engineering,1,0.0,0.7219
85,social_engineering,1,0.0,0.8159
86,social_engineering,1,0.0,0.6116
87,social_engineering,1,0.0,0.1599
88,social_engineering,1,0.0,0.8851
89,social_engineering,1,0.0,0.6563
90,social_engineering,1,0.0,0.6846
91,social_engineering,1,0.0,0.9572
92,social_engineering,1,0.0,0.8387
93,social_engineering,1,0.0,0.7091
94,social_engineering,1,0.0,0.8512
95,social_engineering,1,0.0,0.62
96,social_engineering,1,0.0,0.6766
97,social_engineering,1,0.0,0.7131
98,social_engineering,1,0.0,0.6984
99,social_engineering,1,0.0,0.9425
100,social_engineering,1,0.0,0.7293
101,social_engineering,1,0.0,0.8783
102,social_engineering,1,0.0,0.8555
103,social_engineering,1,0.0,0.9311
104,social_engineering,1,0.0,0.6749
105,social_engineering,1,0.0,0.8222
106,social_engineering,1,0.0,0.5686
107,social_engineering,1,0.0,0.7535
108,social_engineering,1,0.0,0.7153
109,social_engineering,1,0.0,0.7485
110,social_engineering,1,0.0,0.8685
111,social_engineering,1,0.0,0.697
112,social_engineering,1,0.0,0.735
113,social_engineering,1,0.0,0.7238
114,social_engineering,1,0.0,0.7987
115,social_engineering,1,0.0,0.6807
116,social_engineering,1,0.0,0.661
117,social_engineering,1,0.0,0.7045
118,social_engineering,1,0.0,0.702
119,social_engineering,1,0.0,0.6271
120,social_engineering,1,0.0,0.8628
121,social_engineering,1,0.0,0.7512
122,social_engineering,1,0.0,0.8737
123,social_engineering,1,0.0,0.8302
124,social_engineering,1,0.0,0.8468
125,social_engineering,1,0.0,0.8409
126,social_engineering,1,0.0,0.7251
127,social_engineering,1,0.0,0.9141
128,social_engineering,1,0.0,0.7861
129,social_engineering,1,0.0,0.8115
130,social_engineering,1,0.0,0.7182
131,social_engineering,1,0.0,0.8367
132,social_engineering,1,0.0,0.8582
133,social_engineering,1,0.0,0.7265
134,social_engineering,1,0.0,0.8396
135,social_engineering,1,0.0,0.8604
136,social_engineering,1,0.0,0.7407
137,social_engineering,1,0.0,0.6834
138,social_engineering,1,0.0,0.8959
139,social_engineering,1,0.0,0.7324
140,social_engineering,1,0.0,0.7491
141,social_engineering,1,0.0,0.7996
142,social_engineering,1,0.0,0.8892
143,social_engineering,1,0.0,0.7634
144,social_engineering,1,0.0,0.6743
145,social_engineering,1,0.0,0.7652
146,social_engineering,1,0.0,0.7872
147,social_engineering,1,0.0,0.7229
148,social_engineering,1,0.0,0.7199
149,social_engineering,1,0.0,0.7248
150,social_engineering,0,0.0,0.1884
151,social_engineering,0,0.0,0.1706
152,social_engineering,0,0.0,0.1541
153,social_engineering,0,0.0,0.2352
154,social_engineering,0,0.0,0.1692
155,social_engineering,0,0.0,0.2355
156,social_engineering,0,0.0,0.1486
157,social_engineering,0,0.0,0.2225
158,social_engineering,0,0.0,0.2324
159,social_engineering,0,0.0,0.1887
160,social_engineering,0,0.0,0.267
161,social_engineering,0,0.0,0.115
162,social_engineering,0,0.0,0.3396
163,social_engineering,0,0.0,0.1764
164,social_engineering,0,0.0,0.2378
165,social_engineering,0,0.0,0.2472
166,social_engineering,0,0.0,0.239
167,social_engineering,0,0.0,0.2015
168,social_engineering,0,0.0,0.2339
169,social_engineering,0,0.0,0.1855
170,social_engineering,0,0.0,0.1866
171,social_engineering,0,0.0,0.2055
172,social_engineering,0,0.0,0.2059
173,social_engineering,0,0.0,0.2006
174,social_engineering,0,0.0,0.178
175,social_engineering,0,0.0,0.1824
176,social_engineering,0,0.0,0.3139
177,social_engineering,0,0.0,0.186
178,social_engineering,0,0.0,0.2657
179,social_engineering,0,0.0,0.1341
180,social_engineering,0,0.0,0.2462
181,social_engineering,0,0.0,0.1617
182,social_engineering,0,0.0,0.2387
183,social_engineering,0,0.0,0.1488
184,social_engineering,0,0.0,0.1883
185,social_engineering,0,0.0,0.1655
186,social_engineering,0,0.0,0.2662
187,social_engineering,0,0.0,0.1948
188,social_engineering,0,0.0,0.2402
189,social_engineering,0,0.0,0.2131
190,social_engineering,0,0.0,0.1149
191,social_engineering,0,0.0,0.123
192,social_engineering,0,0.0,0.0902
193,social_engineering,0,0.0,0.3069
194,social_engineering,0,0.0,0.2897
195,social_engineering,0,0.0,0.3027
196,social_engineering,0,0.0,0.2629
197,social_engineering,0,0.0,0.1152
198,social_engineering,0,0.0,0.3436
199,social_engineering,0,0.0,0.1526
200,social_engineering,0,0.0,0.2353
201,social_engineering,0,0.0,0.1398
202,social_engineering,0,0.0,0.1877
203,social_engineering,0,0.0,0.2531
204,social_engineering,0,0.0,0.1711
205,social_engineering,0,0.0,0.1931
206,social_engineering,0,0.0,0.2269
207,social_engineering,0,0.0,0.3112
208,social_engineering,0,0.0,0.1899
209,social_engineering,0,0.0,0.2585
210,social_engineering,0,0.0,0.191
211,social_engineering,0,0.0,0.1699
212,social_engineering,0,0.0,0.1818
213,social_engineering,0,0.0,0.2257
214,social_engineering,0,0.0,0.1883
